61114.548349	0.272750	0.011920
61114.549877	0.254250	0.011826
61114.551408	0.265971	0.011695
61114.552937	0.272966	0.012195
61114.554465	0.251079	0.011488
61114.555995	0.263689	0.011802
61114.557522	0.275830	0.012126
61114.559054	0.279168	0.012119
61114.560585	0.256453	0.011880
61114.562113	0.257087	0.011364
61114.563642	0.261849	0.011248
61114.565169	0.272760	0.011621
61114.566704	0.260288	0.011495
61114.568232	0.259621	0.011277
61114.569761	0.252844	0.011228
61114.571288	0.268774	0.011539
61114.572817	0.246458	0.010957
61114.574344	0.245302	0.010639
61114.575873	0.278430	0.011007
61114.577401	0.248359	0.010810
61114.582229	0.248512	0.010979
61114.583756	0.252960	0.010923
61114.585287	0.249248	0.010668
61114.586823	0.236929	0.010690
61114.588349	0.242473	0.010561
61114.589876	0.262399	0.011049
61114.591403	0.217472	0.010465
61114.592932	0.227787	0.010596
61114.594461	0.233420	0.010615
61114.595988	0.245351	0.010418
61114.597516	0.240124	0.010481
61114.599041	0.242629	0.010557
61114.600567	0.233473	0.010308
61114.602094	0.242909	0.010539
61114.603623	0.217198	0.009946
61114.605154	0.211065	0.009860
61114.606680	0.242312	0.010215
61114.608208	0.229377	0.010034
61114.609739	0.221126	0.009805
61114.611268	0.204017	0.009713
61116.499474	0.514409	0.091634
61116.506137	0.440575	0.069566
61116.508358	0.284790	0.058996
61116.510605	0.413593	0.058788
61116.512827	0.396964	0.065112
61116.515057	0.404016	0.058871
61116.517280	0.232741	0.043046
61116.519494	0.327281	0.060864
61116.521716	0.376979	0.051362
61116.523938	0.314063	0.050677
61116.526167	0.339244	0.058072
61116.528391	0.408045	0.058573
61116.530614	0.368437	0.054818
61116.532836	0.311664	0.050920
61116.535056	0.254776	0.037768
61116.537283	0.232285	0.037454
61116.539503	0.264484	0.043537
61116.541726	0.179475	0.038991
61116.543945	0.198749	0.042738
61116.546170	0.182051	0.040575
61116.548396	0.247073	0.047137
61116.550616	0.149283	0.042214
61116.552834	0.247855	0.049530
61116.555056	0.176221	0.035389
61116.557278	0.239678	0.044086
61116.559510	0.183243	0.042864
61116.561733	0.125975	0.036187
61116.563954	0.243847	0.045263
61116.566174	0.263688	0.046892
61116.568395	0.219641	0.042452
61116.570621	0.351479	0.048895
61116.572843	0.341139	0.042355
61116.578714	0.370483	0.049488
61116.580940	0.430173	0.065063
61116.583165	0.356409	0.055249
61116.585385	0.367851	0.054027
61116.587605	0.489579	0.065085
61116.589824	0.377405	0.052097
61116.592049	0.465176	0.060115
61116.594271	0.380126	0.044851
61116.596495	0.422513	0.044483
61116.598735	0.517310	0.054668
61116.600949	0.580892	0.056015
61116.603167	0.618190	0.051502
61116.612067	0.577137	0.049270
61116.614308	0.534827	0.047770
61116.616527	0.456840	0.042568
61116.618769	0.574865	0.051999
61116.620988	0.590411	0.055772
61116.623224	0.630099	0.056865
61116.625451	0.607718	0.051264
61116.627691	0.643323	0.052857
61116.629906	0.567303	0.045280
61116.632126	0.519460	0.041518
61116.634364	0.609032	0.050862
61116.636608	0.595855	0.047025
61116.638825	0.623095	0.054835
61116.641043	0.649266	0.054152
61116.643261	0.585059	0.048108
61116.645475	0.632871	0.048935
61116.647723	0.718644	0.056475
61116.649938	0.675230	0.052718
61116.652158	0.703981	0.055578
61116.654398	0.674698	0.054775
61116.656619	0.583921	0.048015
61116.658855	0.709566	0.054827
61116.661075	0.653378	0.051926
61116.663295	0.764768	0.061188
61116.665512	0.856271	0.065005
61116.667728	0.857394	0.073170
61116.669950	0.792764	0.065568
61116.672190	0.927373	0.076867
61116.674406	0.747057	0.058152
61116.676625	0.862876	0.067636
61116.678845	0.829850	0.067539
61116.681083	0.844274	0.063128
61116.683304	0.830627	0.062472
61116.685542	0.857957	0.063817
61116.687759	0.858215	0.066924
61116.689983	0.958781	0.073093
61116.692206	0.922758	0.069229
61116.707771	1.133225	0.096658
61116.709986	0.890278	0.067503
61116.712200	1.037344	0.086698
61116.716663	0.848426	0.065936
61116.718878	0.898440	0.068494
61116.721099	0.823618	0.059626
61117.500300	0.659936	0.059160
61117.502527	0.680693	0.058479
61117.504747	0.711872	0.058346
61117.506966	0.682403	0.053881
61117.509183	0.612666	0.046658
61117.511402	0.619568	0.044827
61117.513630	0.615503	0.048088
61117.515850	0.604726	0.045695
61117.518067	0.596310	0.046540
61117.520286	0.739572	0.055495
61117.522504	0.731648	0.059356
61117.524732	0.599690	0.046856
